date,item1,item2,item3,item4,item5,item6
2024-01-31,솔본,아센디오,엘컴텍,유니온커뮤니티,포메탈,랩지노믹스
2024-01-29,엑세스바이오,액션스퀘어,바이넥스,필옵틱스,피엠티,HLB글로벌
2024-01-26,세코닉스,신화인터텍,에스엔유,가온그룹,LB세미콘,LB루셈
2024-01-24,키다리스튜디오,가온그룹,메가엠디,상신전자,조이시티,노랑풍선
2024-01-22,한컴위드,티피씨글로벌,로체시스템즈,엠투아이,탑엔지니어링,플래티어
2024-01-19,삼진엘앤디,포바이포,신송홀딩스,메가엠디,이랜텍,한성크린텍
2024-01-17,와이어블,일승,신화인터텍,삼륭물산,삼영전자,포바이포
2024-01-15,코위버,솔본,일승,신송홀딩스,와이투솔루션,케이엘넷
2024-01-12,삼일씨엔에스,TPC,세코닉스,신송홀딩스,동방,에스피시스템스
2024-01-10,신화인터텍,한컴위드,엔피,라이온켐텍,KC코트렐,대영포장
2024-01-08,토마토시스템,한컴위드,TPC,위세아이텍,덱스터,알에프세미
2024-01-05,에이디엠코리아,아주IB투자,미래생명자원,엑셈,비플라이소프트,세종공업
2024-01-03,캐리소프트,토박스코리아,국순당,바이오플러스,파이버프로,상아프론테크
2023-12-27,포시에스,웰크론한텍,솔트웨어,디아이,티움바이오,드림씨아이에스
2023-12-22,퓨쳐켐,티피씨글로벌,상신전자,캐리소프트,세종공업,토박스코리아
2023-12-20,켐트로스,삼화전기,원바이오젠,유라테크,보락,한빛소프트
2023-12-18,에이스테크,리튬포어스,켐트로스,키다리스튜디오,한국정보통신,티피씨글로벌
2023-12-15,플레이디,탑코미디어,신화콘텍,리튬포어스,SIMPAC,웰바이오텍
2023-12-13,광전자,피씨디렉트,케어랩스,에스엔유,케이티알파,아주IB투자
2023-12-11,에스에너지,큐리언트,피제이전자,세코닉스,신화콘텍,지니뮤직
2023-12-08,엔피,비플라이소프트,위지윅스튜디오,미래생명자원,서원,서플러스글로벌
2023-12-06,탑코미디어,플레이디,NHN벅스,피씨디렉트,SMC&C,다날
2023-12-04,NHN벅스,엔지켐생명과학,동방,케이사인,레몬,알로이스
2023-12-01,피씨디렉트,LB세미콘,평화산업,케어랩스,에너토크,레몬
2023-11-29,토마토시스템,루멘스,서원,지니뮤직,엔지켐생명과학,알로이스
2023-11-27,LB세미콘,원티드랩,라이콤,덕우전자,NHNKCP,상보
2023-11-24,엔지켐생명과학,애드바이오텍,제넥신,CBI,유아이디,NHNKCP
2023-11-22,윙스풋,CJ씨푸드,웹스,원티드랩,GH신소재,인성정보
2023-11-20,로지시스,삼화네트웍스,YBM넷,리파인,라이트론,정원엔시스
2023-11-17,아이엘사이언스,피씨엘,에이스테크,비플라이소프트,진원생명과학,제넥신
2023-11-15,KB오토시스,코맥스,아이크래프트,피델릭스,에코바이오,인트론바이오
2023-11-13,아이크래프트,덴티스,윌링스,에이엔피,신성통상,GS글로벌
2023-11-10,피씨엘,엑세스바이오,iMBC,갤럭시아머니트리,제이씨현시스템,텔콘RF제약
2023-11-08,하츠,액션스퀘어,누리플렉스,세종메디칼,서플러스글로벌,대한뉴팜
2023-11-06,필옵틱스,삼화네트웍스,웰크론한텍,MDS테크,다날,휴마시스
2023-11-03,세코닉스,액션스퀘어,알에스오토메이션,위지윅스튜디오,갤럭시아머니트리,이엔플러스
2023-11-01,삼일씨엔에스,GS글로벌,디에이피,제이씨현시스,동일고무벨트,경남제약
2023-10-30,덕신하우징,에스에너지,아시아나IDT,우리기술투자,SMC&C,삼성제약
2023-10-27,프로이천,메디아나,조이시티,솔트웨어,엔케이맥스,코오롱플라스틱
2023-10-25,잇츠한불,국순당,제이에스코퍼레이션,농우바이오,삼보산업,네오티스
2023-10-23,CJ씨푸드,KBG,비투엔,우리기술투자,플래스크,광동제약
2023-10-20,이글벳,신라섬유,아모센스,화천기계,일성건설,상보
2023-10-18,상보,라이트론,삼화전기,디티앤씨,상신전자,유니온머티리얼
2023-10-16,한국앤컴퍼니,대한뉴팜,코오롱플라스틱,대정화금,힘스,삼천리자전거
2023-10-13,일승,한탑,피델릭스,대주산업,고려산업,미래생명자원
2023-10-11,휴니드,제이티,SV인베스트,피제이메탈,로지시스,포시에스
2023-09-25,한성기업,GS글로벌,케이엠더블유,신송홀딩스,대성창투,레몬
2023-09-22,KX하이텍,진양화학,안국약품,국일신동,텔레필드,대창
2023-09-20,코위버,RF머트리얼,아센디오,대성창투,와이어블,케이엠더블유
2023-09-18,웅진,푸드나무,프럼파스트,아우딘퓨쳐스,진흥기업,NE능률
2023-09-15,유아이디,CBI,윈텍,아즈텍WB,다산솔루에타,에이스테크
2023-09-13,신신제약,SJM홀딩스,제이스코홀딩스,KB오토시스,지엔씨에너지,신풍
2023-09-12,아우딘퓨쳐,네오오토,픽셀플러스,AJ네트웍스,CMG제약,씨엔알리서치
2023-09-08,보령,액토즈소프트,문배철강,동신건설,현대무벡스,인산가
2023-09-06,제노레이,신화인터텍,비플라이소프트,BGF에코머트리얼즈,솔본,파수
2023-09-04,린드먼아시아,한국비엔씨,디에스케이,희림,홈캐스트,파인텍
2023-09-01,엔피,옵티팜,삼진,우림피티에스,한국종합기술,인디에프
2023-08-30,케이씨티,아이씨디,한컴위드,유니크,에스넷,대원화성
2023-08-28,선바이오,씨큐브,세림B&G,에스트래픽,상보,오르비텍
2023-08-25,AP위성,현대비앤지,유니슨,레몬,삼보산업,신성통상
2023-08-23,화천기계,케어랩스,SJM,제이씨현시스템,디티앤씨,포시에스
2023-08-21,누리플랜,엠에스오토텍,나무기술,삼기,코맥스,유바이오로직스
2023-08-18,고려제약,동일기연,아이크래프트,케이피에프,포메탈,피제이전자
2023-08-16,힘스,한국철강,TBH글로벌,토마토시스템,유니온,형지엘리트
2023-08-11,SG,루멘스,컴퍼니케이,디젠스,에이엔피,블루콤
2023-08-09,유비케어,신화콘텍,미래아이앤지,러셀,기가레인,코맥
2023-08-07,휴엠앤씨,서플러스글로벌,아이윈,미스터블루,인산가,리더스기술투자
2023-08-04,광전자,플래스크,와이즈버즈,손오공,부방,남성
2023-08-02,나노브릭,쎄노텍,케이씨에스,동국알앤에스,대정화금,엘컴텍
2023-07-31,홈캐스트,SBS콘텐츠허브,이화공영,시큐센,우원개발,성우전자
2023-07-28,엑셈,성신양회,우리넷,웨이버스,인디에프,피델릭스
2023-07-26,이미지스,신라섬유,알로이스,에이치케이,신진에스엠,라이트론
