date,item,exp,type,integrated_category
2024-04-09,스마트레이더시스템,좀 더 지켜봐야한다,저점장대양봉,100
2024-04-09,HD현대에너지솔루션,월봉을 보면 좀 더 내려오는게 안전하지 않나,저점장대양봉,100
2024-04-09,나이벡,이만원 넘으면 다중봉 다중턱,저점장대양봉,31
2024-04-09,한화투자증권,앞폭탄 맞고 떨어지는 상황,저점장대양봉,100
2024-04-09,세기상사,상황을 지켜보는 것도 하나의 방법,저점장대양봉,100
2024-04-09,브이씨,오늘 본 신규상장주종목중에서는 좋은 종목인듯,저점장대양봉,26_a
2024-04-09,HD현대인프라코어,어중간,저점장대양봉,100
2024-04-09,더존비즈온,앞폭탄 수준에 이르렀다,저점장대양봉,100
2024-04-09,현대힘스,계속 고가놀이 진행중,저점장대양봉,8
2024-04-09,제이엔비,신규상장주 말고는 움직임이 괜찮다,저점장대양봉,26_a
2024-04-09,국영지앤엠,거의 판바닥까지내려옴,저점장대양봉,21
2024-04-09,윙입푸드,다중봉 다중턱,저점장대양봉,100
2024-04-09,롯데손해보험,3500원 넘으면 첩첩산중,저점장대양봉,31
2024-04-09,한국석유,만육천원 넘으면 첩첩산중,저점장대양봉,31
2024-04-09,엘컴텍,도지를 만들고 있다,저점장대양봉,8
2024-04-09,지엔씨에너지,나에게는 좋은 종목이 더 많다,효자종목,100
2024-04-09,에이스테크,기대를 해봅니다,효자종목,4_a
2024-04-09,씨엔알리서치,왔다갔다 하고 있다,효자종목,100
2024-04-09,일성건설,이제는 좀 돌아야되지 않나,효자종목,6
2024-04-09,디와이디,반등의 기미를 보이고 있다,효자종목,12_b
2024-04-09,토탈소프트,"1차를 털고 2차만 남았다, 곧 다시 올라가지 않을까",효자종목,2_z
2024-04-09,에스에너지,어차피 살짝 물렸다가 다시 2500원을 근접해서 슬슬 움직이지 않을까,효자종목,11_b
2024-04-09,레몬,"먹또먹 계속 선사, 좋은 소식 전해줄 것 같음",효자종목,4_a
2024-04-09,비츠로테크,살짝 부족했다,효자종목,1_c
2024-04-09,대원전선,월봉을 보면 2500원을 보면 다중봉 다중턱이 기다리고 있다,효자종목,100
2024-04-09,바이오스마트,제2의 씨엔알리서치가 되지 않을까,효자종목,100
2024-04-09,대우부품,저점긴꼬리,효자종목,22
